sample_index,sample_id,split,source_file,geometry_type,damage_type,parameter_count,p1,p2,p3,p4,p5,p6,p7,p8
20,666:0020:10_0_50_1,validation,666.xlsx,upward_crack_1mm,upward_crack,4,10,0,50,1,,,,
21,666:0021:10_0_45_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,10,0,45,1,,,,
22,666:0022:10_0_40_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,10,0,40,1,,,,
23,666:0023:10_0_35_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,10,0,35,1,,,,
24,666:0024:10_0_30_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,10,0,30,1,,,,
25,666:0025:10_0_25_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,10,0,25,1,,,,
26,666:0026:10_0_20_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,10,0,20,1,,,,
27,666:0027:10_0_15_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,10,0,15,1,,,,
28,666:0028:10_0_10_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,10,0,10,1,,,,
29,666:0029:10_0_5_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,10,0,5,1,,,,
30,666:0030:15_0_50_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,15,0,50,1,,,,
31,666:0031:15_0_45_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,15,0,45,1,,,,
32,666:0032:15_0_40_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,15,0,40,1,,,,
33,666:0033:15_0_35_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,15,0,35,1,,,,
34,666:0034:15_0_30_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,15,0,30,1,,,,
35,666:0035:15_0_25_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,15,0,25,1,,,,
36,666:0036:15_0_20_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,15,0,20,1,,,,
37,666:0037:15_0_15_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,15,0,15,1,,,,
38,666:0038:15_0_10_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,15,0,10,1,,,,
39,666:0039:15_0_5_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,15,0,5,1,,,,
40,666:0040:20_0_50_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,20,0,50,1,,,,
41,666:0041:20_0_45_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,20,0,45,1,,,,
42,666:0042:20_0_40_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,20,0,40,1,,,,
43,666:0043:20_0_35_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,20,0,35,1,,,,
44,666:0044:20_0_30_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,20,0,30,1,,,,
45,666:0045:20_0_25_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,20,0,25,1,,,,
46,666:0046:20_0_20_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,20,0,20,1,,,,
47,666:0047:20_0_15_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,20,0,15,1,,,,
48,666:0048:20_0_10_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,20,0,10,1,,,,
49,666:0049:20_0_5_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,20,0,5,1,,,,
50,666:0050:25_0_50_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,25,0,50,1,,,,
51,666:0051:25_0_45_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,25,0,45,1,,,,
52,666:0052:25_0_40_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,25,0,40,1,,,,
53,666:0053:25_0_35_1,validation,666.xlsx,upward_crack_1mm,upward_crack,4,25,0,35,1,,,,
54,666:0054:25_0_30_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,25,0,30,1,,,,
55,666:0055:25_0_25_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,25,0,25,1,,,,
56,666:0056:25_0_20_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,25,0,20,1,,,,
57,666:0057:25_0_15_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,25,0,15,1,,,,
58,666:0058:25_0_10_1,validation,666.xlsx,upward_crack_1mm,upward_crack,4,25,0,10,1,,,,
59,666:0059:25_0_5_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,25,0,5,1,,,,
60,666:0060:30_0_50_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,30,0,50,1,,,,
61,666:0061:30_0_45_1,test,666.xlsx,upward_crack_1mm,upward_crack,4,30,0,45,1,,,,
62,666:0062:30_0_40_1,test,666.xlsx,upward_crack_1mm,upward_crack,4,30,0,40,1,,,,
63,666:0063:30_0_35_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,30,0,35,1,,,,
64,666:0064:30_0_30_1,test,666.xlsx,upward_crack_1mm,upward_crack,4,30,0,30,1,,,,
65,666:0065:30_0_25_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,30,0,25,1,,,,
66,666:0066:30_0_20_1,validation,666.xlsx,upward_crack_1mm,upward_crack,4,30,0,20,1,,,,
67,666:0067:30_0_15_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,30,0,15,1,,,,
68,666:0068:30_0_10_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,30,0,10,1,,,,
69,666:0069:30_0_5_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,30,0,5,1,,,,
70,666:0070:35_0_50_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,35,0,50,1,,,,
71,666:0071:35_0_45_1,validation,666.xlsx,upward_crack_1mm,upward_crack,4,35,0,45,1,,,,
72,666:0072:35_0_40_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,35,0,40,1,,,,
73,666:0073:35_0_35_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,35,0,35,1,,,,
74,666:0074:35_0_30_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,35,0,30,1,,,,
75,666:0075:35_0_25_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,35,0,25,1,,,,
76,666:0076:35_0_20_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,35,0,20,1,,,,
77,666:0077:35_0_15_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,35,0,15,1,,,,
78,666:0078:35_0_10_1,test,666.xlsx,upward_crack_1mm,upward_crack,4,35,0,10,1,,,,
79,666:0079:35_0_5_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,35,0,5,1,,,,
80,666:0080:40_0_50_1,validation,666.xlsx,upward_crack_1mm,upward_crack,4,40,0,50,1,,,,
81,666:0081:40_0_45_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,40,0,45,1,,,,
82,666:0082:40_0_40_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,40,0,40,1,,,,
83,666:0083:40_0_35_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,40,0,35,1,,,,
84,666:0084:40_0_30_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,40,0,30,1,,,,
85,666:0085:40_0_25_1,test,666.xlsx,upward_crack_1mm,upward_crack,4,40,0,25,1,,,,
86,666:0086:40_0_20_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,40,0,20,1,,,,
87,666:0087:40_0_15_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,40,0,15,1,,,,
88,666:0088:40_0_10_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,40,0,10,1,,,,
89,666:0089:40_0_5_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,40,0,5,1,,,,
90,666:0090:45_0_50_1,validation,666.xlsx,upward_crack_1mm,upward_crack,4,45,0,50,1,,,,
91,666:0091:45_0_45_1,test,666.xlsx,upward_crack_1mm,upward_crack,4,45,0,45,1,,,,
92,666:0092:45_0_40_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,45,0,40,1,,,,
93,666:0093:45_0_35_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,45,0,35,1,,,,
94,666:0094:45_0_30_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,45,0,30,1,,,,
95,666:0095:45_0_25_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,45,0,25,1,,,,
96,666:0096:45_0_20_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,45,0,20,1,,,,
97,666:0097:45_0_15_1,validation,666.xlsx,upward_crack_1mm,upward_crack,4,45,0,15,1,,,,
98,666:0098:45_0_10_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,45,0,10,1,,,,
99,666:0099:45_0_5_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,45,0,5,1,,,,
100,666:0100:50_0_50_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,50,0,50,1,,,,
101,666:0101:50_0_45_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,50,0,45,1,,,,
102,666:0102:50_0_40_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,50,0,40,1,,,,
103,666:0103:50_0_35_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,50,0,35,1,,,,
104,666:0104:50_0_30_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,50,0,30,1,,,,
105,666:0105:50_0_25_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,50,0,25,1,,,,
106,666:0106:50_0_20_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,50,0,20,1,,,,
107,666:0107:50_0_15_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,50,0,15,1,,,,
108,666:0108:50_0_10_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,50,0,10,1,,,,
109,666:0109:50_0_5_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,50,0,5,1,,,,
110,666:0110:55_0_50_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,55,0,50,1,,,,
111,666:0111:55_0_45_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,55,0,45,1,,,,
112,666:0112:55_0_40_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,55,0,40,1,,,,
113,666:0113:55_0_35_1,validation,666.xlsx,upward_crack_1mm,upward_crack,4,55,0,35,1,,,,
114,666:0114:55_0_30_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,55,0,30,1,,,,
115,666:0115:55_0_25_1,test,666.xlsx,upward_crack_1mm,upward_crack,4,55,0,25,1,,,,
116,666:0116:55_0_20_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,55,0,20,1,,,,
117,666:0117:55_0_15_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,55,0,15,1,,,,
118,666:0118:55_0_10_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,55,0,10,1,,,,
119,666:0119:55_0_5_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,55,0,5,1,,,,
120,666:0120:60_0_50_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,60,0,50,1,,,,
121,666:0121:60_0_45_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,60,0,45,1,,,,
122,666:0122:60_0_40_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,60,0,40,1,,,,
123,666:0123:60_0_35_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,60,0,35,1,,,,
124,666:0124:60_0_30_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,60,0,30,1,,,,
125,666:0125:60_0_25_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,60,0,25,1,,,,
126,666:0126:60_0_20_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,60,0,20,1,,,,
127,666:0127:60_0_15_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,60,0,15,1,,,,
128,666:0128:60_0_10_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,60,0,10,1,,,,
129,666:0129:60_0_5_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,60,0,5,1,,,,
130,666:0130:65_0_50_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,65,0,50,1,,,,
131,666:0131:65_0_45_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,65,0,45,1,,,,
132,666:0132:65_0_40_1,test,666.xlsx,upward_crack_1mm,upward_crack,4,65,0,40,1,,,,
133,666:0133:65_0_35_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,65,0,35,1,,,,
134,666:0134:65_0_30_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,65,0,30,1,,,,
135,666:0135:65_0_25_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,65,0,25,1,,,,
136,666:0136:65_0_20_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,65,0,20,1,,,,
137,666:0137:65_0_15_1,test,666.xlsx,upward_crack_1mm,upward_crack,4,65,0,15,1,,,,
138,666:0138:65_0_10_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,65,0,10,1,,,,
139,666:0139:65_0_5_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,65,0,5,1,,,,
140,666:0140:70_0_50_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,70,0,50,1,,,,
141,666:0141:70_0_45_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,70,0,45,1,,,,
142,666:0142:70_0_40_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,70,0,40,1,,,,
143,666:0143:70_0_35_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,70,0,35,1,,,,
144,666:0144:70_0_30_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,70,0,30,1,,,,
145,666:0145:70_0_25_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,70,0,25,1,,,,
146,666:0146:70_0_20_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,70,0,20,1,,,,
147,666:0147:70_0_15_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,70,0,15,1,,,,
148,666:0148:70_0_10_1,test,666.xlsx,upward_crack_1mm,upward_crack,4,70,0,10,1,,,,
149,666:0149:70_0_5_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,70,0,5,1,,,,
150,666:0150:75_0_50_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,75,0,50,1,,,,
151,666:0151:75_0_45_1,validation,666.xlsx,upward_crack_1mm,upward_crack,4,75,0,45,1,,,,
152,666:0152:75_0_40_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,75,0,40,1,,,,
153,666:0153:75_0_35_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,75,0,35,1,,,,
154,666:0154:75_0_30_1,test,666.xlsx,upward_crack_1mm,upward_crack,4,75,0,30,1,,,,
155,666:0155:75_0_25_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,75,0,25,1,,,,
156,666:0156:75_0_20_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,75,0,20,1,,,,
157,666:0157:75_0_15_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,75,0,15,1,,,,
158,666:0158:75_0_10_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,75,0,10,1,,,,
159,666:0159:75_0_5_1,test,666.xlsx,upward_crack_1mm,upward_crack,4,75,0,5,1,,,,
160,666:0160:80_0_50_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,80,0,50,1,,,,
161,666:0161:80_0_45_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,80,0,45,1,,,,
162,666:0162:80_0_40_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,80,0,40,1,,,,
163,666:0163:80_0_35_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,80,0,35,1,,,,
164,666:0164:80_0_30_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,80,0,30,1,,,,
165,666:0165:80_0_25_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,80,0,25,1,,,,
166,666:0166:80_0_20_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,80,0,20,1,,,,
167,666:0167:80_0_15_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,80,0,15,1,,,,
168,666:0168:80_0_10_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,80,0,10,1,,,,
169,666:0169:80_0_5_1,validation,666.xlsx,upward_crack_1mm,upward_crack,4,80,0,5,1,,,,
170,666:0170:85_0_50_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,85,0,50,1,,,,
171,666:0171:85_0_45_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,85,0,45,1,,,,
172,666:0172:85_0_40_1,test,666.xlsx,upward_crack_1mm,upward_crack,4,85,0,40,1,,,,
173,666:0173:85_0_35_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,85,0,35,1,,,,
174,666:0174:85_0_30_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,85,0,30,1,,,,
175,666:0175:85_0_25_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,85,0,25,1,,,,
176,666:0176:85_0_20_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,85,0,20,1,,,,
177,666:0177:85_0_15_1,test,666.xlsx,upward_crack_1mm,upward_crack,4,85,0,15,1,,,,
178,666:0178:85_0_10_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,85,0,10,1,,,,
179,666:0179:85_0_5_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,85,0,5,1,,,,
180,666:0180:90_0_50_1,test,666.xlsx,upward_crack_1mm,upward_crack,4,90,0,50,1,,,,
181,666:0181:90_0_45_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,90,0,45,1,,,,
182,666:0182:90_0_40_1,test,666.xlsx,upward_crack_1mm,upward_crack,4,90,0,40,1,,,,
183,666:0183:90_0_35_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,90,0,35,1,,,,
184,666:0184:90_0_30_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,90,0,30,1,,,,
185,666:0185:90_0_25_1,validation,666.xlsx,upward_crack_1mm,upward_crack,4,90,0,25,1,,,,
186,666:0186:90_0_20_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,90,0,20,1,,,,
187,666:0187:90_0_15_1,validation,666.xlsx,upward_crack_1mm,upward_crack,4,90,0,15,1,,,,
188,666:0188:90_0_10_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,90,0,10,1,,,,
189,666:0189:90_0_5_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,90,0,5,1,,,,
190,666:0190:95_0_50_1,test,666.xlsx,upward_crack_1mm,upward_crack,4,95,0,50,1,,,,
191,666:0191:95_0_45_1,validation,666.xlsx,upward_crack_1mm,upward_crack,4,95,0,45,1,,,,
192,666:0192:95_0_40_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,95,0,40,1,,,,
193,666:0193:95_0_35_1,validation,666.xlsx,upward_crack_1mm,upward_crack,4,95,0,35,1,,,,
194,666:0194:95_0_30_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,95,0,30,1,,,,
195,666:0195:95_0_25_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,95,0,25,1,,,,
196,666:0196:95_0_20_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,95,0,20,1,,,,
197,666:0197:95_0_15_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,95,0,15,1,,,,
198,666:0198:95_0_10_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,95,0,10,1,,,,
199,666:0199:95_0_5_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,95,0,5,1,,,,
200,666:0200:100_0_50_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,100,0,50,1,,,,
201,666:0201:100_0_45_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,100,0,45,1,,,,
202,666:0202:100_0_40_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,100,0,40,1,,,,
203,666:0203:100_0_35_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,100,0,35,1,,,,
204,666:0204:100_0_30_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,100,0,30,1,,,,
205,666:0205:100_0_25_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,100,0,25,1,,,,
206,666:0206:100_0_20_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,100,0,20,1,,,,
207,666:0207:100_0_15_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,100,0,15,1,,,,
208,666:0208:100_0_10_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,100,0,10,1,,,,
209,666:0209:100_0_5_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,100,0,5,1,,,,
210,666:0210:105_0_50_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,105,0,50,1,,,,
211,666:0211:105_0_45_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,105,0,45,1,,,,
212,666:0212:105_0_40_1,test,666.xlsx,upward_crack_1mm,upward_crack,4,105,0,40,1,,,,
213,666:0213:105_0_35_1,validation,666.xlsx,upward_crack_1mm,upward_crack,4,105,0,35,1,,,,
214,666:0214:105_0_30_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,105,0,30,1,,,,
215,666:0215:105_0_25_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,105,0,25,1,,,,
216,666:0216:105_0_20_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,105,0,20,1,,,,
217,666:0217:105_0_15_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,105,0,15,1,,,,
218,666:0218:105_0_10_1,test,666.xlsx,upward_crack_1mm,upward_crack,4,105,0,10,1,,,,
219,666:0219:105_0_5_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,105,0,5,1,,,,
220,666:0220:110_0_50_1,validation,666.xlsx,upward_crack_1mm,upward_crack,4,110,0,50,1,,,,
221,666:0221:110_0_45_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,110,0,45,1,,,,
222,666:0222:110_0_40_1,validation,666.xlsx,upward_crack_1mm,upward_crack,4,110,0,40,1,,,,
223,666:0223:110_0_35_1,validation,666.xlsx,upward_crack_1mm,upward_crack,4,110,0,35,1,,,,
224,666:0224:110_0_30_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,110,0,30,1,,,,
225,666:0225:110_0_25_1,validation,666.xlsx,upward_crack_1mm,upward_crack,4,110,0,25,1,,,,
226,666:0226:110_0_20_1,validation,666.xlsx,upward_crack_1mm,upward_crack,4,110,0,20,1,,,,
227,666:0227:110_0_15_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,110,0,15,1,,,,
228,666:0228:110_0_10_1,test,666.xlsx,upward_crack_1mm,upward_crack,4,110,0,10,1,,,,
229,666:0229:110_0_5_1,test,666.xlsx,upward_crack_1mm,upward_crack,4,110,0,5,1,,,,
230,666:0230:115_0_50_1,validation,666.xlsx,upward_crack_1mm,upward_crack,4,115,0,50,1,,,,
231,666:0231:115_0_45_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,115,0,45,1,,,,
232,666:0232:115_0_40_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,115,0,40,1,,,,
233,666:0233:115_0_35_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,115,0,35,1,,,,
234,666:0234:115_0_30_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,115,0,30,1,,,,
235,666:0235:115_0_25_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,115,0,25,1,,,,
236,666:0236:115_0_20_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,115,0,20,1,,,,
237,666:0237:115_0_15_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,115,0,15,1,,,,
238,666:0238:115_0_10_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,115,0,10,1,,,,
239,666:0239:115_0_5_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,115,0,5,1,,,,
240,666:0240:120_0_50_1,validation,666.xlsx,upward_crack_1mm,upward_crack,4,120,0,50,1,,,,
241,666:0241:120_0_45_1,test,666.xlsx,upward_crack_1mm,upward_crack,4,120,0,45,1,,,,
242,666:0242:120_0_40_1,validation,666.xlsx,upward_crack_1mm,upward_crack,4,120,0,40,1,,,,
243,666:0243:120_0_35_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,120,0,35,1,,,,
244,666:0244:120_0_30_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,120,0,30,1,,,,
245,666:0245:120_0_25_1,test,666.xlsx,upward_crack_1mm,upward_crack,4,120,0,25,1,,,,
246,666:0246:120_0_20_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,120,0,20,1,,,,
247,666:0247:120_0_15_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,120,0,15,1,,,,
248,666:0248:120_0_10_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,120,0,10,1,,,,
249,666:0249:120_0_5_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,120,0,5,1,,,,
250,666:0250:125_0_50_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,125,0,50,1,,,,
251,666:0251:125_0_45_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,125,0,45,1,,,,
252,666:0252:125_0_40_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,125,0,40,1,,,,
253,666:0253:125_0_35_1,validation,666.xlsx,upward_crack_1mm,upward_crack,4,125,0,35,1,,,,
254,666:0254:125_0_30_1,train,666.xlsx,upward_crack_1mm,upward_crack,4,125,0,30,1,,,,
255,666:0255:125_0_25_1,test,666.xlsx,upward_crack_1mm,upward_crack,4,125,0,25,1,,,,
